sector_purpose,year,value,scenario,variant,unit
Prozesskälte,2041,1.9829890495701488,ZERO-Basis,KKW50,PJ
Prozesskälte,2042,1.951119364878976,ZERO-Basis,KKW50,PJ
Prozesskälte,2043,1.9197244157862872,ZERO-Basis,KKW50,PJ
Prozesskälte,2044,1.8888026010500958,ZERO-Basis,KKW50,PJ
Prozesskälte,2045,1.8583524665689533,ZERO-Basis,KKW50,PJ
Prozesskälte,2046,1.8276330229361855,ZERO-Basis,KKW50,PJ
Prozesskälte,2047,1.7974250562832492,ZERO-Basis,KKW50,PJ
Prozesskälte,2048,1.7677000696868586,ZERO-Basis,KKW50,PJ
Prozesskälte,2049,1.7384590756728138,ZERO-Basis,KKW50,PJ
Prozesskälte,2050,1.7096857200630837,ZERO-Basis,KKW50,PJ
Prozesskälte,2051,1.6809173167628275,ZERO-Basis,KKW50,PJ
Prozesskälte,2052,1.6526254832256304,ZERO-Basis,KKW50,PJ
Prozesskälte,2053,1.6248169949733333,ZERO-Basis,KKW50,PJ
Prozesskälte,2054,1.5974777211308793,ZERO-Basis,KKW50,PJ
Prozesskälte,2055,1.5706097701975168,ZERO-Basis,KKW50,PJ
Prozesskälte,2056,1.5443697897364206,ZERO-Basis,KKW50,PJ
Prozesskälte,2057,1.5185767175235465,ZERO-Basis,KKW50,PJ
Prozesskälte,2058,1.4932133760493032,ZERO-Basis,KKW50,PJ
Prozesskälte,2059,1.4682814429679005,ZERO-Basis,KKW50,PJ
Prozesskälte,2060,1.4437731607183983,ZERO-Basis,KKW50,PJ
Landwirtschaft,2000,1.6406066417618963,ZERO-Basis,KKW50,PJ
Landwirtschaft,2001,2.496158211050207,ZERO-Basis,KKW50,PJ
Landwirtschaft,2002,1.8995255012363643,ZERO-Basis,KKW50,PJ
Landwirtschaft,2003,1.9759787718823631,ZERO-Basis,KKW50,PJ
Landwirtschaft,2004,2.0613408245520333,ZERO-Basis,KKW50,PJ
Landwirtschaft,2005,1.8294046779306727,ZERO-Basis,KKW50,PJ
Landwirtschaft,2006,1.5456921180862881,ZERO-Basis,KKW50,PJ
Landwirtschaft,2007,1.4851961202055355,ZERO-Basis,KKW50,PJ
Landwirtschaft,2008,1.4235871197136434,ZERO-Basis,KKW50,PJ
Landwirtschaft,2009,1.3804970339938638,ZERO-Basis,KKW50,PJ
Landwirtschaft,2010,1.333404260289405,ZERO-Basis,KKW50,PJ
Landwirtschaft,2011,1.3848082338380918,ZERO-Basis,KKW50,PJ
Landwirtschaft,2012,1.3506811413805775,ZERO-Basis,KKW50,PJ
Landwirtschaft,2013,1.2854364143571224,ZERO-Basis,KKW50,PJ
Landwirtschaft,2014,1.1578967071502613,ZERO-Basis,KKW50,PJ
Landwirtschaft,2015,1.1618512314896214,ZERO-Basis,KKW50,PJ
Landwirtschaft,2016,1.2372945481231623,ZERO-Basis,KKW50,PJ
Landwirtschaft,2017,1.329318114589399,ZERO-Basis,KKW50,PJ
Landwirtschaft,2018,1.2734345984821998,ZERO-Basis,KKW50,PJ
Landwirtschaft,2019,1.2079481485222228,ZERO-Basis,KKW50,PJ
Landwirtschaft,2020,6.707802316068382,ZERO-Basis,KKW50,PJ
Landwirtschaft,2021,6.742431266113603,ZERO-Basis,KKW50,PJ
Landwirtschaft,2022,6.78156933605005,ZERO-Basis,KKW50,PJ
Landwirtschaft,2023,6.81717332809864,ZERO-Basis,KKW50,PJ
Landwirtschaft,2024,6.833772245173073,ZERO-Basis,KKW50,PJ
Landwirtschaft,2025,6.85841853484012,ZERO-Basis,KKW50,PJ
Landwirtschaft,2026,6.85693599912595,ZERO-Basis,KKW50,PJ
Landwirtschaft,2027,6.84742169186407,ZERO-Basis,KKW50,PJ
Landwirtschaft,2028,6.8456237875428645,ZERO-Basis,KKW50,PJ
Landwirtschaft,2029,6.845922547777503,ZERO-Basis,KKW50,PJ
Landwirtschaft,2030,6.85600056493341,ZERO-Basis,KKW50,PJ
Landwirtschaft,2031,6.788144363713049,ZERO-Basis,KKW50,PJ
Landwirtschaft,2032,6.778927573556231,ZERO-Basis,KKW50,PJ
Landwirtschaft,2033,6.777602510265755,ZERO-Basis,KKW50,PJ
Landwirtschaft,2034,6.756499038206055,ZERO-Basis,KKW50,PJ
Landwirtschaft,2035,6.751444062732967,ZERO-Basis,KKW50,PJ
Landwirtschaft,2036,6.741985047501873,ZERO-Basis,KKW50,PJ
Landwirtschaft,2037,6.722046024045521,ZERO-Basis,KKW50,PJ
Landwirtschaft,2038,6.688832206019172,ZERO-Basis,KKW50,PJ
Landwirtschaft,2039,6.674865337949363,ZERO-Basis,KKW50,PJ
Landwirtschaft,2040,6.6525438061595015,ZERO-Basis,KKW50,PJ
Landwirtschaft,2041,6.611447618536426,ZERO-Basis,KKW50,PJ
Landwirtschaft,2042,6.578546800787468,ZERO-Basis,KKW50,PJ
Landwirtschaft,2043,6.556506232812865,ZERO-Basis,KKW50,PJ
Landwirtschaft,2044,6.54745843419817,ZERO-Basis,KKW50,PJ
Landwirtschaft,2045,6.51837944775146,ZERO-Basis,KKW50,PJ
Landwirtschaft,2046,6.491113402568936,ZERO-Basis,KKW50,PJ
Landwirtschaft,2047,6.459886366074843,ZERO-Basis,KKW50,PJ
Landwirtschaft,2048,6.4270286102517415,ZERO-Basis,KKW50,PJ
Landwirtschaft,2049,6.406201337124709,ZERO-Basis,KKW50,PJ
Landwirtschaft,2050,6.3697842566242695,ZERO-Basis,KKW50,PJ
Landwirtschaft,2051,6.329688936045808,ZERO-Basis,KKW50,PJ
Landwirtschaft,2052,6.285756731826365,ZERO-Basis,KKW50,PJ
Landwirtschaft,2053,6.244028273313167,ZERO-Basis,KKW50,PJ
Landwirtschaft,2054,6.1975956994510675,ZERO-Basis,KKW50,PJ
Landwirtschaft,2055,6.158976478582062,ZERO-Basis,KKW50,PJ
Landwirtschaft,2056,6.114911591237004,ZERO-Basis,KKW50,PJ
Landwirtschaft,2057,6.0699697543887305,ZERO-Basis,KKW50,PJ
Landwirtschaft,2058,6.031015339615506,ZERO-Basis,KKW50,PJ
Landwirtschaft,2059,5.998153098903405,ZERO-Basis,KKW50,PJ
Landwirtschaft,2060,5.955608483381874,ZERO-Basis,KKW50,PJ
Raumwärme,2000,0.0,ZERO-Basis,KKW50,PJ
Raumwärme,2001,0.0,ZERO-Basis,KKW50,PJ
Raumwärme,2002,0.0,ZERO-Basis,KKW50,PJ
Raumwärme,2003,0.0,ZERO-Basis,KKW50,PJ
Raumwärme,2004,0.0,ZERO-Basis,KKW50,PJ
Raumwärme,2005,0.0,ZERO-Basis,KKW50,PJ
Raumwärme,2006,0.0,ZERO-Basis,KKW50,PJ
Raumwärme,2007,0.0,ZERO-Basis,KKW50,PJ
Raumwärme,2008,0.0,ZERO-Basis,KKW50,PJ
Raumwärme,2009,0.0,ZERO-Basis,KKW50,PJ
Raumwärme,2010,0.0,ZERO-Basis,KKW50,PJ
Raumwärme,2011,0.0,ZERO-Basis,KKW50,PJ
Raumwärme,2012,0.0,ZERO-Basis,KKW50,PJ
Raumwärme,2013,0.0,ZERO-Basis,KKW50,PJ
Raumwärme,2014,0.0,ZERO-Basis,KKW50,PJ
Raumwärme,2015,0.0,ZERO-Basis,KKW50,PJ
Raumwärme,2016,0.0,ZERO-Basis,KKW50,PJ
Raumwärme,2017,0.0,ZERO-Basis,KKW50,PJ
Raumwärme,2018,0.0,ZERO-Basis,KKW50,PJ
Raumwärme,2019,0.0,ZERO-Basis,KKW50,PJ
Raumwärme,2020,0.0,ZERO-Basis,KKW50,PJ
Raumwärme,2021,0.0,ZERO-Basis,KKW50,PJ
Raumwärme,2022,0.0,ZERO-Basis,KKW50,PJ
Raumwärme,2023,0.0,ZERO-Basis,KKW50,PJ
Raumwärme,2024,0.0,ZERO-Basis,KKW50,PJ
Raumwärme,2025,0.0,ZERO-Basis,KKW50,PJ
Raumwärme,2026,0.0,ZERO-Basis,KKW50,PJ
Raumwärme,2027,0.0,ZERO-Basis,KKW50,PJ
Raumwärme,2028,0.0,ZERO-Basis,KKW50,PJ
Raumwärme,2029,0.0,ZERO-Basis,KKW50,PJ
Raumwärme,2030,0.0,ZERO-Basis,KKW50,PJ
Raumwärme,2031,0.0,ZERO-Basis,KKW50,PJ
Raumwärme,2032,0.0,ZERO-Basis,KKW50,PJ
Raumwärme,2033,0.0,ZERO-Basis,KKW50,PJ
Raumwärme,2034,0.0,ZERO-Basis,KKW50,PJ
Raumwärme,2035,0.0,ZERO-Basis,KKW50,PJ
Raumwärme,2036,0.0,ZERO-Basis,KKW50,PJ
Raumwärme,2037,0.0,ZERO-Basis,KKW50,PJ
Raumwärme,2038,0.0,ZERO-Basis,KKW50,PJ
Raumwärme,2039,0.0,ZERO-Basis,KKW50,PJ
Raumwärme,2040,0.0,ZERO-Basis,KKW50,PJ
